decade,timeline
1970,"met,   1,romantic,  3,lived,  2,married,-99"
1970,"met,   1,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   2,romantic,  6,lived,  5,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  6,lived,  6,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  4,lived,  3,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  2,lived,  2,married,-99"
1970,"met,   1,romantic,  7,lived,  7,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   2,romantic, 15,lived,  4,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  1,lived,  2,married,-99"
1970,"met,   1,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  3,lived,  2,married,-99"
1970,"met,   1,romantic,  4,lived,  5,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   2,romantic, 11,lived, 11,married,-99"
1970,"met,   2,romantic,  1,lived,  1,married,-99"
1970,"met,   2,romantic,  7,lived,  8,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   3,romantic, 38,lived, 38,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  2,lived,  3,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   5,romantic, 26,lived, 41,married,-99"
1970,"met,   1,romantic,  3,lived,  4,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   1,romantic,  9,lived,  9,married,-99"
1970,"met,   1,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  6,lived,  6,married,-99"
1970,"met,   2,romantic,  5,lived,  4,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   2,romantic, 12,lived, 12,married,-99"
1970,"met,   3,romantic,  9,lived,  9,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  6,lived,  5,married,-99"
1970,"met,   2,romantic, 11,lived, 11,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   1,romantic, 12,lived, 13,married,-99"
1970,"met,   1,romantic, 12,lived, 12,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   2,romantic, 22,lived, 22,married,-99"
1970,"met,   2,romantic, 11,lived, 11,married,-99"
1970,"met,   1,romantic,  2,lived,  3,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic, 13,lived, 13,married,-99"
1970,"met,   2,romantic, 12,lived, 12,married,-99"
1970,"met,   6,romantic, 13,lived, 14,married,-99"
1970,"met,   2,romantic,  4,lived,  5,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   1,romantic,  8,lived,  7,married,-99"
1970,"met,   1,romantic,  7,lived,  7,married,-99"
1970,"met,   1,romantic,  7,lived,  6,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  7,lived,  6,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 12,lived, 12,married,-99"
1970,"met,   2,romantic, 13,lived, 13,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  2,lived,  1,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic, 13,lived, 13,married,-99"
1970,"met,   2,romantic, 21,lived, 20,married,-99"
1970,"met,   2,romantic,  6,lived, 24,married,-99"
1970,"met,   2,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   5,romantic, 13,lived, 48,married,-99"
1970,"met,   2,romantic,  2,lived,  2,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 16,lived, 16,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   1,romantic,  1,lived,  1,married,-99"
1970,"met,   1,romantic,  3,lived,  2,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   2,romantic,  1,lived,  2,married,-99"
1970,"met,   2,romantic,  4,lived,  4,married,-99"
1970,"met,   2,romantic,  6,lived,  6,married,-99"
1970,"met,   2,romantic,  6,lived,  6,married,-99"
1970,"met,   2,romantic,  7,lived,  7,married,-99"
1970,"met,   3,romantic,  7,lived,  8,married,-99"
1970,"met,   1,romantic,  6,lived,  6,married,-99"
1970,"met,   5,romantic, 22,lived, 36,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic,  9,lived,  9,married,-99"
1970,"met,   2,romantic, 10,lived, 10,married,-99"
1970,"met,   1,romantic,  7,lived,  7,married,-99"
1970,"met,   1,romantic,  7,lived,  7,married,-99"
1970,"met,   5,romantic, 10,lived,  6,married,-99"
1970,"met,   1,romantic,  4,lived, 13,married,-99"
1970,"met,   2,romantic,  7,lived, 12,married,-99"
1970,"met,   1,romantic,  4,lived, 13,married,-99"
1970,"met,   1,romantic,  3,lived,  9,married,-99"
1970,"met,   1,romantic,  4,lived, 15,married,-99"
1970,"met,   1,romantic,  5,lived, 23,married,-99"
1970,"met,   1,romantic,  6,lived,  2,married,-99"
1970,"met,   1,romantic, 11,lived, 16,married,-99"
1970,"met,   2,romantic,  8,lived,  4,married,-99"
1970,"met,   1,romantic,  8,lived,  3,married,-99"
1970,"met,   1,romantic,  2,lived,  6,married,-99"
1970,"met,   1,romantic,  6,lived,  3,married,-99"
1970,"met,   1,romantic,  6,lived,  2,married,-99"
1970,"met,   1,romantic,  2,lived,  2,married,-99"
1970,"met,   1,romantic,  5,lived,  5,married,-99"
1970,"met,   1,romantic,  4,lived,  6,married,-99"
1970,"met,   1,romantic,  5,lived,  8,married,-99"
1970,"met,   1,romantic,  6,lived,  4,married,-99"
1970,"met,   2,romantic,  7,lived,  6,married,-99"
1970,"met,   1,romantic,  1,lived,  8,married,-99"
1970,"met,   1,romantic,  3,lived,  3,married,-99"
1970,"met,   1,romantic,  1,lived, 10,married,-99"
1970,"met,   1,romantic,  2,lived, 13,married,-99"
1970,"met,   1,romantic,  6,lived, 20,married,-99"
1970,"met,   1,romantic,  5,lived, 19,married,-99"
1970,"met,   1,romantic,  8,lived, 18,married,-99"
1970,"met,   1,romantic,  3,lived, 14,married,-99"
